Angle 0-360	Magnitude
53.016045	1.580787
54.175884	1.705664
52.252216	1.606699
49.206436	1.506651
46.648983	1.463531
49.590179	1.543808
48.648663	1.514568
47.783779	1.511967
45.579994	1.500519
46.495235	1.452111
48.704250	1.404974
46.011524	1.354789
43.292656	1.262063
40.009644	1.148689
43.448780	1.262316
45.689312	1.420772
47.482929	1.468878
46.163471	1.456462
48.750378	1.506238
51.266457	1.492639
52.344723	1.489223
52.561916	1.523403
58.545277	1.576487
56.710278	1.539710
53.434052	1.472753
55.432961	1.554269
55.454762	1.501951
54.043026	1.511657
52.164818	1.498756
53.303226	1.512916
53.650318	1.460870
52.226612	1.427850
52.204742	1.622488
56.709282	1.727679
53.578732	1.559858
51.200241	1.566981
51.770706	1.653416
49.759396	1.546824
51.166656	1.613438
51.751392	1.511600
51.117973	1.522237
48.442589	1.408908
47.926365	1.365432
47.131470	1.285631
42.441578	1.213618
39.456341	1.125948
43.139069	1.218415
45.809963	1.386486
48.075260	1.500058
49.672493	1.544428
51.747955	1.517953
53.203838	1.488157
52.152977	1.490283
53.550835	1.559116
52.045856	1.449829
47.128296	1.418444
45.537964	1.428969
46.273037	1.417203
52.111771	1.475434
51.134777	1.471933
49.524868	1.507826
51.760487	1.497226
53.931179	1.448379
54.900047	1.414672
52.814854	1.586533
53.931046	1.735708
49.826870	1.560809
47.714947	1.547713
48.332771	1.521311
48.846752	1.505953
47.091011	1.465900
49.607929	1.537481
47.982227	1.489088
45.970478	1.420331
45.362183	1.338101
43.265305	1.268288
38.883423	1.147721
37.376133	1.078343
38.994240	1.127933
44.259281	1.269446
44.785732	1.320390
45.132553	1.338518
45.882652	1.330564
49.298641	1.481850
52.469883	1.550724
49.806667	1.485350
48.040081	1.404594
44.418262	1.384087
45.665646	1.401278
48.399250	1.419903
49.728695	1.523164
50.178188	1.537400
48.427910	1.493554
48.868225	1.441038
50.335159	1.379979
48.833733	1.498764
53.420521	1.707128
48.651905	1.559008
47.152252	1.540181
46.788895	1.631565
48.807068	1.608140
47.278027	1.500068
46.674252	1.482310
44.186253	1.481344
43.728245	1.438007
44.100483	1.454739
42.903076	1.346689
42.094055	1.307976
39.593582	1.181841
38.607300	1.197729
41.896252	1.356910
44.614037	1.388398
45.702251	1.383107
46.875698	1.356068
44.415806	1.349680
46.882610	1.501999
50.574661	1.587542
48.958206	1.463441
52.017170	1.482234
47.088829	1.372470
46.234516	1.428281
48.095005	1.448426
47.032097	1.427695
47.774445	1.481153
48.515743	1.494716
49.474258	1.418589
50.085339	1.350645
51.176113	1.627387
52.606831	1.666667
49.703789	1.520905
47.823807	1.473368
49.157207	1.558108
48.623486	1.539909
46.670536	1.521917
47.389263	1.539557
45.125919	1.489004
45.792786	1.459322
45.392620	1.347425
44.704956	1.306572
40.732521	1.197887
38.703800	1.104723
40.515732	1.164532
44.208210	1.328297
45.923080	1.459231
46.348160	1.392486
44.431732	1.362818
49.905384	1.424251
51.139526	1.470647
51.786533	1.496893
50.071468	1.452969
49.836639	1.426552
48.274105	1.385868
48.728111	1.373787
46.934700	1.429750
46.550392	1.449424
45.514080	1.455146
49.311752	1.441980
49.291451	1.356874
51.271225	1.463837
52.266869	1.697745
53.311607	1.677593
49.194698	1.530136
48.430992	1.466692
50.205162	1.601500
48.830086	1.527985
47.593029	1.513645
45.775112	1.530028
44.949009	1.467377
46.829815	1.381524
45.379990	1.321408
40.155052	1.222162
37.747993	1.133563
38.417946	1.100096
45.210094	1.331442
46.852421	1.485012
49.820858	1.534942
52.911362	1.554451
54.247871	1.579993
54.620354	1.524576
56.386845	1.573742
57.762024	1.582212
55.052418	1.516564
49.022465	1.410780
48.102867	1.398748
50.783413	1.424612
50.481354	1.453997
51.474335	1.553468
50.810329	1.509323
52.525745	1.533866
51.861748	1.407099
51.601505	1.460365
51.573933	1.669685
50.180443	1.575275
49.032696	1.583436
48.879715	1.602679
50.292664	1.578482
50.769276	1.528856
49.235142	1.483977
47.630955	1.465630
47.636417	1.423055
46.953537	1.384013
46.268154	1.270417
42.946609	1.224753
39.904011	1.128170
41.397621	1.188804
46.208744	1.314395
47.027348	1.415016
48.129620	1.431857
46.825676	1.392624
49.584400	1.478525
51.175480	1.501553
53.377274	1.544540
51.438065	1.472144
45.961079	1.362080
43.231506	1.382686
44.042652	1.355201
47.091267	1.385371
49.485165	1.439332
51.482647	1.508107
50.748531	1.492817
48.159245	1.397579
50.065598	1.353685
52.066238	1.554458
53.328743	1.730779
48.943916	1.550843
45.584545	1.534129
48.469837	1.553251
46.295086	1.481131
44.863205	1.459360
44.217243	1.448804
45.514107	1.458618
45.811527	1.444284
44.090797	1.389798
42.515579	1.317091
40.993286	1.207713
37.167679	1.106528
37.793884	1.160810
42.574566	1.264555
42.695412	1.256652
42.369122	1.209775
46.577702	1.297800
46.383572	1.382260
51.669773	1.523419
51.573631	1.520023
46.078571	1.423441
45.906296	1.429049
45.163490	1.402178
46.042542	1.374706
49.688450	1.496769
49.269958	1.521977
46.349125	1.534421
48.149212	1.455319
48.137058	1.398328
49.861919	1.411584
52.472458	1.679733
